,,,,,,,,,
KAMAK ASSOCIATES,,,,,,,,,
LIST OF Items   PERIOD FROM 01-04-2024 TO 14-10-2024,,,,,,,,,
,,,,,,,,,
S.No,Item Code,Item Name,Group,Brand,Model,MRP,Net Sal Qty,Close Qty,Close Val
163,26318IN-RGD,KOHLER 26318IN-RGD STATEMENT SHOWER ARM ROSE GOLD,CP,KOHLER,Primary,4200,,2,
164,26353IN-P-NA(PRE),KOHLER 26353IN-P-NA(PRE) INSTAFIT NXT GEN PNEU IN WALL TANK,SANITARY,KOHLER,INSTAFIT,12600,,5,36823.2
165,2660IN-1-7,KOHLER 2660IN-1-7 FOREFRONT BOWL BLACK,SANITARY,KOHLER,Primary,18400,,2,
166,26855IN-BL,KOHLER 26855IN-BL RAINMAX RAIN SHOWER BLACK 254MM,CP,KOHLER,Primary,23100,,2,
167,26855IN-BV,KOHLER 26855IN-BV RAINMAX SQUARE SHOWER BRONZE,CP,KOHLER,Primary,23100,,2,
168,27484IN-4-CP(POP),KOHLER 27484IN-4-CP(POP) FORE TRI PILLAR TAP,CP,KOHLER,FORE,2940,1,1,1870.84
169,27485IN-4-CP(POP),KOHLER 27485IN-4-CP(POP) FORE LINE PILLAR TAP,CP,KOHLER,FORE,3150,,1,2004.48
170,27490IN-CP(POP),KOHLER 27490IN-CP(POP) FORE BATH SPOUT W/O DIV,CP,KOHLER,FORE,2500,2,1,667.84
171,27492IN-CP(POP),KOHLER 27492IN-CP(POP) FORE ARC BATH SPOUT W/O DIV,CP,KOHLER,FORE,2310,,1,667.84
172,27498IN-4FP-CP(POP),KOHLER 27498IN-4FP-CP(POP) TRI AT235 RBS TRIM ASSY,CP,KOHLER,Primary,3420,2,2,4123.32
173,27500IN-4FP-CP(POP),KOHLER 27500IN-4FP-CP(POP) FORE ARC AT235 RBS TRIM ASSY,CP,KOHLER,FORE,3780,,1,2405.54
174,27903IN-HP1,KOHLER 27903IN-HP1 MODERN LIFE EDGE CLOSET PEACOCK,SANITARY,KOHLER,Modern Life Edge,47500,,1,
175,27903IN-SS-0(LUX),Kohler 27903IN-SS-0(LUX) Modernlife Edge Wall Hung Bowl,SANITARY,KOHLER,Modern Life Edge,38000,,1,16188.55
176,27904IN-HP1,KOHLER 27904IN-HP1 MODERN LIFE EDGE SEAT COVER PEACOCK,SANITARY,KOHLER,Modern Life Edge,17500,,1,
177,27904IN-SS-0(LUX),KOHLER 27904IN-SS-0(LUX) MODERN LIFE EDGE WH SEAT COVER,SANITARY,KOHLER,Modern Life Edge,12500,,1,6363.43
178,28780IN-0(PRE),KOHLER 28780IN-0(PRE) VIVE WALL HUNG BOWL,SANITARY,KOHLER,VIVE,18500,,6,58798.26
179,28780IN-7,KOHLER 28780IN-7 VIVE WALL HUNG CLOSET BLACK,SANITARY,KOHLER,VIVE,21390,,2,
180,28780IN-DGS(PRE),KOHLER 28780IN-DGS(PRE) VIVE WALL HUNG BOWL,SANITARY,KOHLER,VIVE,20600,,1,13702.53
181,28781IN-0(PRE),KOHLER 28781IN-0(PRE) VIVE QC SLIM UF SEAT WHITE,SANITARY,KOHLER,VIVE,6500,,6,21381.18
182,28781IN-7,KOHLER 28781IN-7 VIVE SEAT COVER BLACK,SANITARY,KOHLER,VIVE,8000,,2,
183,28781IN-DGS(PRE),KOHLER  28781IN-DGS VIVE QC SLIM UF SEAT COVER,SANITARY,KOHLER,VIVE,7500,,1,4987.29
184,28783IN-7(PRE),KOHLER 28783IN-7(PRE) VIVE CAPSULE VESSEL BASIN BLACK,SANITARY,KOHLER,VIVE,15000,,1,8908.81
185,28784IN-0(PRE),KOHLER 28784IN-0(PRE) VIVE GEO VESSEL W/O DECK550*400MM,SANITARY,KOHLER,VIVE,13000,,1,7720.98
186,28784IN-DGS(PRE),KOHLER 28784IN-DGS(PRE) KOHLER VIVE GEO VESSEL W/O DECK550*4,SANITARY,KOHLER,VIVE,16300,,1,4305.96
187,29172IN-0,KOHLER 29172IN-0 SPAN SQ WALL HUNG CLOSET,SANITARY,KOHLER,SPAN,9690,,1,
188,29928IN-4ND-AF(POP),KOHLER 29928IN-4ND-AF(POP) JULY COMFORT SC BASIN FAUCET W/O,CP,KOHLER,JULY COMFORT,8500,,1,2507.24
189,30457IN-PSH(LUX),KOHLER 30457IN-PSH(LUX) PROLOGUE VESSEL VANITY,SANITARY,KOHLER,PROLOGUE,49950,,1,26723.9
190,30459IN-N21(LUX),KOHLER 30459IN-N21(LUX) LUXE VESSEL VANITY 750MM(PU),SANITARY,KOHLER,LUXE,59950,,1,25451.22
191,31458IN-0(POP),Kohler 31458IN-0(POP) Span Round Wm Lavatory Wash Basin,SANITARY,KOHLER,SPAN,5400,1,1,3341.03
192,31459IN-0(POP),KOHLER 31459IN-0(POP) SPAN SQ VESSEL W/O DECK,SANITARY,KOHLER,SPAN,6650,1,1,4136.24
193,31539IN-SS-0(PRE),KOHLER 31539IN-SS-0(PRE) VEIL RIMLESS WALVIT PAN,SANITARY,KOHLER,VEIL,23850,,1,6369.81
194,32019IN-4-BV,KOHLER 32019IN-4-BV PARALLEL UPPER TRIM + DIV BRONZE,CP,KOHLER,PARALLEL,20700,,2,
195,32407IN-0,KOHLER 32407IN-0 APT SQUAR SEAT COVER,SANITARY,KOHLER,APT,3500,,2,
196,32427IN-0,KOHLER 32427IN-0 APT SQUARE WALVIT PAN,SANITARY,KOHLER,APT,10000,,2,
197,33645IN-4FP-CP,KOHLER 33645IN-4FP-CP APT CURV CON. DIV UPPER TRIM,CP,KOHLER,APT,2240,,1,
198,33913IN-4ND-CP,KOHLER 33913IN-4ND-CP APT FLUX BASIN MIXER,CP,KOHLER,APT FLUX,4260,,1,
199,33978IN-4-CP,KOHLER 33978IN-4-CP APT ANGLE VALVE,CP,KOHLER,APT,1150,,10,
